raw_product_name,last_observed_price,occurrences,reason
KEELLS CHICKEN FINE,1680.00,29,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SCAN CASAVA CHIPS FRIED &,150.00,24,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SADALI PAPADAM 100g,135.00,16,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAXSHA PEPPER POWDER,2000.00,15,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DIVASA TABLE SALT 400G,100.00,14,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
GILLETTE BLUE 2,150.00,14,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ELEPHANT HOUSE FRUIT AND,180.00,14,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DASH LIME FRESH SOAP 3 IN,330.00,14,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BATHI POOJA SRPARY HIT,250.00,13,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SCAN CASAVA CHIPS HOT &,170.00,13,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
PANACEAS CEYLON TEA 25,195.00,11,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAXSHA TURMERIC POWDER,530.00,11,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CALIN TEEN SOAP WITH,90.00,10,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ANGEL PAPER SERVIATTES -,245.00,10,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CITRONELLA INCENSE 10,150.00,10,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
DETTOL COOL 70*2 GET 1,280.00,10,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FISH ROLLS,55.00,9,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
ELEPHANT HOUSE FRUIT &,100.00,8,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RIO ROSE & LEMON 1kg,240.00,8,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BELLOSE KERATIN SHAMPOO,1750.00,8,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CLOSEUO RED HOT 120g,295.00,8,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LAXSHA CHILLI PIECES 500g,650.00,7,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
NESCAFE PREMIX 1KG,2475.00,7,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
KEELLS SEASHELL PASTA,410.00,7,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
STAR DISH WASH TUB 500G,260.00,7,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
EDIN TOMATO KETCHUP WITH,20.00,7,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
LIFEBUOY TURMERIC &,155.00,7,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SANKA SOY BUDGET CURRY,60.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BEE HIVE MAGARINE,23000.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
FALCON JAM 5kg,2325.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
SMAK CASSAVA HOT AND,160.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
IRESHA BABY PAPADAM 1kg,925.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BRITOL BLISS DISHWASHING,220.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL SERA CHILLI POWDER,450.00,6,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BRITOL DISHWASH BUDGET,160.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
AMRITHA ROSE LILY 15,110.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
WONDERLIGHT JASMIN 100g,110.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
CBL LANKA SOY CUTTLEFISH,60.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
BATHI POOJA LAVENDER,90.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
RANI SANDALWOOD WITH,110.00,5,"Only appears in bills where item lines don't sum to cash_in -- likely a wrapped/truncated product name, not a real complete name."
